,nodeId,ls,lc,le,ltx,number of neighbors,QOS,arm,jammed evaluation,label (jammed or not)
0,9,1,5,0,1,7,1.200,False,False,0
1,9,4,3,0,1,7,1.000,True,True,0
2,9,5,0,0,1,7,3.500,True,False,0
3,9,4,2,0,1,7,1.500,False,True,0
4,9,3,2,0,1,7,2.000,False,False,0
5,9,1,4,0,0,7,1.500,True,True,0
6,9,2,5,0,1,7,1.000,True,True,0
7,9,3,4,0,1,7,1.000,False,True,0
8,9,4,0,0,1,7,3.500,False,False,0
9,9,2,3,0,1,7,1.667,True,True,0
10,9,1,5,0,0,7,1.200,True,True,0
11,9,4,3,0,1,7,1.000,True,True,0
12,9,3,2,0,1,7,2.000,True,False,0
13,9,4,2,0,1,7,1.500,True,True,0
14,9,3,3,0,1,7,1.333,False,True,0
15,9,3,3,0,1,7,1.333,False,True,0
16,9,3,2,0,1,7,2.000,False,False,0
17,9,3,1,1,1,7,4.000,True,False,0
18,9,2,4,0,0,7,1.250,True,True,0
19,9,2,4,0,1,7,1.250,False,True,0
20,9,2,4,0,1,7,1.250,False,True,0
21,9,4,2,0,1,7,1.500,False,False,0
22,9,3,2,0,1,7,2.000,False,False,0
23,9,3,4,0,1,7,1.000,True,True,0
24,9,2,2,1,0,7,2.500,True,False,0
25,9,3,3,0,1,7,1.333,True,True,0
26,9,2,4,0,1,7,1.250,True,True,0
27,9,4,3,0,1,7,1.000,True,True,0
28,9,4,1,0,1,7,3.000,False,False,0
29,9,3,3,0,1,7,1.333,True,True,0
30,9,4,1,0,0,7,3.000,True,False,0
31,9,2,3,0,1,7,1.667,True,True,0
32,9,3,4,0,1,7,1.000,False,True,0
33,9,4,1,0,1,7,3.000,False,False,0
34,9,4,2,0,1,7,1.500,False,True,0
35,9,3,2,0,1,7,2.000,True,False,0
36,9,3,3,0,1,7,1.333,False,True,0
37,9,3,3,0,0,7,1.333,True,True,0
38,9,4,3,0,1,7,1.000,False,True,0
39,9,4,1,0,1,7,3.000,False,False,0
40,9,3,1,0,1,7,4.000,False,False,0
41,9,2,4,0,1,7,1.250,True,True,0
42,9,2,4,0,0,7,1.250,True,True,0
43,9,4,2,0,1,7,1.500,True,False,0
44,9,2,2,0,1,7,2.500,True,False,0
45,9,3,3,0,1,7,1.333,True,True,0
46,9,2,4,0,0,7,1.250,True,True,0
47,9,3,3,0,1,7,1.333,False,True,0
48,9,3,3,0,1,7,1.333,True,True,0
49,9,2,3,0,1,7,1.667,True,False,0
50,9,3,3,0,1,7,1.333,False,True,0
51,9,4,3,0,1,7,1.000,False,True,0
52,9,4,2,0,1,7,1.500,False,False,0
53,9,5,0,0,0,7,3.500,True,False,0
54,9,4,3,0,1,7,1.000,False,True,0
55,9,2,2,0,1,7,2.500,False,False,0
56,9,4,2,0,1,7,1.500,False,True,0
57,9,3,2,0,1,7,2.000,False,False,0
58,9,3,3,0,0,7,1.333,True,True,0
59,9,4,3,0,1,7,1.000,False,True,0
60,9,5,1,0,1,7,2.000,True,False,0
61,9,3,1,0,1,7,4.000,False,False,0
